Number,Project Title,Donor (s),Status,Start Date,End Date,Country,Ocean-based Region,Beneficiaries ,Implementing Agency,Total Project Cost,Co-funding entities,Category,Team Leader,Further Information
80,Biodiversity Indicators for Natural Use,GEF Trust Fund,Closed,2002,2007,"Ecuador, Kenya Philippines, Ukraine",Pacific Ocean/ Indian Ocean,,UNEP,"US$ 1,460,000","Grant  - US$ 820,000; Co-financing US $ 640,000",Policy and Legislation (PL),,https://www.google.co.uk/search?client=safari&rls=en&q=Biodiversity+Indicators+for+Natural+Use&ie=UTF-8&oe=UTF-8&gfe_rd=cr&ei=JpAAWbP2H9C3zAXVuYq4BQ#q=Biodiversity+Indicators+for+Natural+Use+GEF
81,The Conservation and Restoration of the Marine Environment Along the South Coast of Barbados,GEF Small Grants Programme,Closed,2004,2005,Barbados,Atlantic Ocean,,Barbados Marine Trust,"US$ 7,300","Grant - US$ 2,000; Co-financing - US$ 5,300",,,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=7560&Itemid=272
82,Local Community-Based Coral Reef Conservation and Empowering Local People's Income,GEF Small Grants Programme,Closed,2002,2004,Indonesia,Pacific Ocean,,Yayasan Kalpataru Nusa Lestari,"US$ 68,573","Grant - US$ 35,295; Co-financing - US$ 33,278",,,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=5760&Itemid=272
83,Training Local Communities in Reef Monitoring and Evaluation: Participatory Evaluation of the Effectiveness of Marine Protected Areas In Maintaining Reef Functional Biodiversity (LUZON and VISAYAS),GEF Small Grants Programme,Closed,1997,1999,Philippines,Indian Ocean,,Marine Environment and Resources Foundation,"US$ 73,994","Grant - US$ 46,384; Co-financing - US$ 27,610",,,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=3740&Itemid=272
84,"Livelihood and environmental restoration of a selected tsunami affected community in Akurala, Galle District by Dakune Gemi Kantha Peramuna",GEF Small Grants Programme,Closed,2006,2007,Sri Lanka,Indian Ocean,,Dakune Gemi Kantha Peramuna,"US$ 18,800","Grant - US$ 18,200; Co-financing - US$ 600",,shireen.samarasuriya@undp.org,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=9589&Itemid=272
85,Tobago Coastal Ecosystem Mapping Project (TCEMP),GEF Small Grants Programme,Closed,2006,2007,Trinidad and Tobago,International Waters,,Buccoo Reef Trust,"US$ 269,800","Grant - US$ 48,800; Co-financing - US$ 221,000",,o.day@buccooreef.org,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=10291&Itemid=272
86,"Empowering Ornamental Fish and Coral Reef Fishermen in Pahawang Village, Pahawang Island, Pasawaran District, Lampung Through The Development of Area Management for Sustainable Ornamental Fish Conservation",GEF Small Grants Programme,Closed,2008,2009,Indonesia,Pacific Ocean,,Yayasan Alam Indonesia Lestari,"US$ 76,422","Grant - US$ 25,000; Co-financing - US$ 51,422",,dwihastarini@sgp-indonesia.org,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=13355&Itemid=272
87,Children of the Coral Reef of Aqaba,GEF Small Grants Programme,Closed,2000,2002,Jordan,International Waters,,Aqaba Center (HRH Sharifa Haya Bint Abdullah Center- NHF,"US$ 86,500","Grant - US$ 48,000; Co-financing - US$ 38,500",,MunirAA@unops.org,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=4102&Itemid=272
88,"Strengthening fishers communities initiatives in managing Mangrove and Sea Conservation Area (DPML) in Teritip Subdistrict, Balikpapan, East Kalimantan",GEF Small Grants Programme,Closed,2008,2009,Indonesia,Pacific Ocean,,Kelompok Kerja Pesisir dan Nelayan,"US$ 31,100","Grant - US$ 25,000; Co-financing - US$ 6,100",,pokjanelayan@yahoo.com,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=13344&Itemid=272
89,RMI: Majuro Reef Protection Mooring Project,GEF Small Grants Programme,Closed,2007,2009,Micronesia,Pacific Ocean,,Mieco Beach Yacht Club,"US$ 68,052","Grant - US$ 49,522; Co-financing - US$ 18,530",,pattersons@unops.org,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=11604&Itemid=272
90,RMI: Sustainable Reef Awareness Campaign,GEF Small Grants Programme,Closed,2006,2008,Micronesia,Pacific Ocean,,Mission Pacific,"US$ 42,000","Grant - US$ 29,000; Co-financing - US$ 13,000",,amysasser@missionpacific.org; pattersons@unops.org,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=10521&Itemid=272
91,Capacity-Building for the Fishery Management of Balayan Municipal Waters,GEF Small Grants Programme,Closed,2002,2004,Philippines,Pacific Ocean,,Ang Nagkakaisang Mamayanang Kostal ng Balayan,"US$ 58,222","Grant - US$ 39,469; Co-financing - US$ 18,753",,rochelle.villanueva@undp.org; rodolfo.quicho@undp.org,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=5103&Itemid=272
92,A Rodrigues Marine Observatory,GEF Small Grants Programme,Closed,1997,1999,Mauritius,Indian Ocean,,Rodrigues Underwater Group,"US$ 515,500","Grant - US$ 32,500; Co-financing - US$ 483,000",,pamela.bapoo.dundoo@undp.org; SamantaH@unops.org,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=142&Itemid=272
93,"Mangrove Conservation, Coral Reef Management, and Kitang Fishing in the Tagabinet-Ulugan Bay Area Project",GEF Small Grants Programme,Closed,2002,2006,Philippines,Pacific Ocean,,PANLIPI-Palawan,"US$ 53,072","Grant - US$ 49,968; Co-financing - US$ 3,104",,rochelle.villanueva@undp.org; rodolfo.quicho@undp.org,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=6069&Itemid=272
94,Coral Reef Monitoring in the Soufriere Scotts Head Marine Reserve,GEF Small Grants Programme,Closed,2004,2004,Dominica,Atlantic Ocean,,Local Area Management Authority,"US$ 2,000","Grant - US$ 2,000",,ssmrdominica@hotmail.com; agnese@unops.org; tracy.phillips@undp.org,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=7243&Itemid=272
95,Community-based Conservation Management of Coral Reef Ecosystem in Hari Island,GEF Small Grants Programme,Closed,2003,2004,Indonesia,Pacific Ocean,,Yayasan Bahari,"US$ 42,547","Grant - US$ 41,000; Co-financing - US$ 1,547",,dwihastarini@sgp-indonesia.org,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=6602&Itemid=272
96,Artificial Reef Development Study,GEF Small Grants Programme,Closed,2008,2008,Dominica,Atlantic Ocean,,Local Area Management Authority,"US$ 4,200","Grant - US$ 2,000; Co-financing - US$ 2,200",,ssmrdominica@yahoo.com; agnese@unops.org; tracy.phillips@undp.org,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=13068&Itemid=272
97,Pathiw Coral & Environmental Protection Group,GEF Small Grants Programme,Closed,1998,1998,Thailand,International Waters,,Coral and Environmental Conservation Club,"US$ 14,203","Grant - US$ 10,440; Co-financing - US$ 3,763",,thadthana.luengthada@undp.org; suwimol.sereepaowong@undp.org,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=496&Itemid=272
98,Fondo para el mercadeo de Turismo Comunitario Sian Ka’an,GEF Small Grants Programme,Closed,2005,2006,Mexico,Pacific Ocean,,"Herencia Punta Allen, A.C.","US$ 21,350","Grant - US$ 20,500; Co-financing - US$ 850",,raul.murguia@ppd.org.mx,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=9405&Itemid=272
99,Argao Nearshore Area Rehabilitation Project (VISAYAS),GEF Small Grants Programme,Closed,1994,1995,Philippines,Pacific Ocean,,Kaponongan ng Gaymay'ng Mananagat sa Argao,"US$ 7,519",,,rochelle.villanueva@undp.org; rodolfo.quicho@undp.org,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=4064&Itemid=272
100,The Protection of the Marine Environment from Point Defous to Point Carib,GEF Small Grants Programme,Closed,2004,2004,Dominica,Atlantic Ocean,,Southern District Councils Association,"US$ 1,500",,,dppa@cwdom.dm; agnese@unops.org; tracy.phillips@undp.org,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=7246&Itemid=272
101,Placencia Fishermen: Traps & Shades Rehabilitation Project,GEF Small Grants Programme,Closed,2003,2004,Belize,Pacific Ocean,,Placencia Producers Co-operative Society,"US$ 69,895","Grant - US$ 49,170; Co-financing - US$ 20,725",,leonel.requena@undp.org,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=6204&Itemid=272
102,Community Based Management on Togean Islands area,GEF Small Grants Programme,Closed,2002,2003,Indonesia,Pacific Ocean,,Yayasan Sahabat Alam Indonesia,"US$ 27,906","Grant - US$ 21,000; Co-financing - US$ 6,906",,dwihastarini@sgp-indonesia.org,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=5767&Itemid=272
103,"Conservation for Coastal Area in South Garut, West Java",GEF Small Grants Programme,Closed,2008,2008,Indonesia,Pacific Ocean,,Lembaga Advokasi Rakyat Indonesia LARI Garut,"US$ 2,350","Grant - US$ 2,000; Co-financing - US$ 350",,dwihastarini@sgp-indonesia.org,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=12650&Itemid=272
104,Sensitisation and Monitoring for Permanent Mooring Buoys,GEF Small Grants Programme,Closed,2000,2002,Mauritius,Indian Ocean,,Mauritius Marine Conservation Soc./Shoals of Capricorn Prog.,"US$ 69,576","Grant - US$ 18,169; Co-financing - US$ 51,407",,pamela.bapoo.dundoo@undp.org; SamantaH@unops.org,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=3844&Itemid=272
105,Coral Reef Monitoring & Management: Involving Youth within Coastal Communities,GEF Small Grants Programme,Closed,2004,2005,Barbados,Atlantic Ocean,,Caribbean Conservation Association,"US$ 2,500","Grant - US$ 2,000; Co-financing - US$ 500",,cca@ccanet.net; tracy.phillips@undp.org; davidby@unops.org; katherine.blackman@undp.org,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=7244&Itemid=272
106,Role of mangrove and coral reef ecosystems in mitigating natural disasters and improving livelihoods in the coastal area,GEF Small Grants Programme,Closed,2006,2007,Vietnam,Pacific Ocean,,Viet Nam Biological Branches Association,"US$ 5,632","Grant - US$ 3,746; Co-financing - US$ 1,886",,nguyen.thi.thu.huyen@undp.org; pham.thi.hong.khuyen@undp.org,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=10598&Itemid=272
107,Development of a Marine Protected Area by setting up a Coral Garden in the inshore marine environment of Apai Village on Manono Island,GEF Small Grants Programme,Closed,2006,2008,Samoa,Pacific Ocean,,Apai - Alii ma Faipule,"US$ 22,681","Grant - US$ 17,241; Co-financing - US$ 5,440",,filia.iosefa@undp.org; ofusina.ieremia@undp.org,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=9187&Itemid=272
108,"Coastal Transplantation to Increase Community Awareness for Coral Reefs in Small Island, Galang District Batam, Riau Isles",GEF Small Grants Programme,Closed,2007,2009,Indonesia,International Waters,,Yayasan Laksana Samudera,"US$ 80,000","Grant - US$ 40,000; Co-financing - US$ 40,000",,,
109,Replanting mangrove seedlings in the wetland ecosystem of Vaiusu Village to improve the current deteriorating status of the ecosystem because of poor environmental awareness about the resource,GEF Small Grants Programme,Closed,2005,2006,Samoa,Pacific Ocean,,Komiti a Tina ma Tamaitai Vaiusu,"US$ 1,782","Grant - US$ 1,533; Co-financing - US$ 249",,filia.iosefa@undp.org; ofusina.ieremia@undp.org,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=9181&Itemid=272
110,Projet de réhabilitation participative de la mangrove par les groupements des femmes de la zone de Fimela-Djilor-Simal,GEF Small Grants Programme,Closed,2004,2006,Senegal,Atlantic Ocean,,Coordination des Actions pour la Restauration des Ecosystèmes Mangroves,US$ 52,,,khatarymb@unops.org,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=8006&Itemid=272
111,Projet d'extension de la régénération communautaire de la mangrove dans les régions de Fatick et de Kaolack,GEF Small Grants Programme,Closed,2002,2004,Senegal,Atlantic Ocean,,Association Populaire des Volontaires pour la Réhabilitation,"US$ 32,319","Grant - US$ 25,917; Co-financing - US$ 6,402",,khatarymb@unops.org,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=5738&Itemid=272
112,"Projet de restauration et de Gestion communautaire de l'écosystème de la mangrove dans le département de Diouloulou (Département de Bignona, Région de Ziguinchor)",GEF Small Grants Programme,Closed,2006,2008,Senegal,Atlantic Ocean,,L'UNION DES GROUPEMENTS DE PROMOTION FEMININE DE L'ARRONDISSEMENT DE DIOULOU,"US$ 44,029","Grant - US$ 38,527; Co-financing - US$ 5,502",,khatarymb@unops.org,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=10780&Itemid=272
113,Mangrove Conservation in Bais Bay (VISAYAS),GEF Small Grants Programme,Closed,1993,1998,Philippines,Pacific Ocean,,Gabayan Foundation Inc.,"US$ 14,806",,,rochelle.villanueva@undp.org; rodolfo.quicho@undp.org,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=4022&Itemid=272
114,Training for Mangrove Reforestation of Manila Bay (LUZON),GEF Small Grants Programme,Closed,1996,1996,Philippines,Pacific Ocean,,Phil. Marinelife & Aquatic Conservationist Assn. Inc.,"US$ 1,751",,,rochelle.villanueva@undp.org; rodolfo.quicho@undp.org,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=4084&Itemid=272
115,Community Mangrove Forest - Surat Thani,GEF Small Grants Programme,Closed,1994,1995,Thailand,International Waters,,People Organization Development Project,"US$ 18,557","Grant - US$ 13,557; Co-financing - US$ 5,000",,thadthana.luengthada@undp.org; suwimol.sereepaowong@undp.org,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=443&Itemid=272
116,Projet de restauration de l'ecosysteme de mangrove dand la zone de fimela-djilor-simal,GEF Small Grants Programme,Closed,2000,2002,Senegal,Atlantic Ocean,,Coordination des Associations pour la Restauration des Ecosy,"US$ 24,681","Grant - US$ 22,530; Co-financing - US$ 2,151",,khatarymb@unops.org,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=4419&Itemid=272
117,"Projet de Promotion d'une Gestion communautaire, intégrée et durable de l’écosysteme de la Mangrove dans la région de Ziguinchor",GEF Small Grants Programme,Closed,2004,2006,Senegal,Atlantic Ocean,,Fédération Régionale de Groupements de Promotion Féménine de Ziguinchor,"US$ 59,313","Grant - US$ 50,000; Co-financing - US$ 9,313",,khatarymb@unops.org,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=7156&Itemid=272
118,FSM: mangrove replanting and reseeding in affected KSA ABS areas,GEF Small Grants Programme,Closed,2008,2009,Micronesia,Pacific Ocean,,Kosrae Women Association,"US$ 36,306","Grant - US$ 19,058; Co-financing - US$ 17,248",,salome_martin@yahoo.com; pattersons@unops.org,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=11719&Itemid=272
119,Projet de Renforcement de la Biodiversité de la Mangrove du Terroir de Djirnda,GEF Small Grants Programme,Closed,2007,2009,Senegal,Atlantic Ocean,,UNION LOCALE DES GIE DES FEMMES DE DJIRNDA,"US$ 66,074","Grant - US$ 34,708; Co-financing - US$ 31,366",,khatarymb@unops.org,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=12125&Itemid=272
120,"Regeneration, Restoration and Ecodevelopment of Mangrove Areas in Kalyaseseri Panchayat, Kerala",GEF Small Grants Programme,Closed,2002,2003,India,Indian Ocean,,Centre for Environment and Development,"US$ 26,511","Grant - US$ 22,909; Co-finanicng - US$ 3,602",,shivani.jain@ceeindia.org,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=5194&Itemid=272
121,Projet de Renforcement de la Biodiversité du Terroir de Mounde : reboisement de la mangrove et promotion de l’apiculture,GEF Small Grants Programme,Closed,2007,2009,Senegal,Atlantic Ocean,,GROUPEMENT NINDOOR DES FEMMES DE MOUNDE,"US$ 55,352","Grant - US$ 35,430; Co-financing - US$ 19,922",,khatarymb@unops.org,https://sgp.undp.org/index.php?option=com_sgpprojects&view=projectdetail&id=12129&Itemid=272
